rubro,codigo,descripcion
encendedores,9540876,Candela Magiclic
energizantes,1040,Red Bull 250ml
energizantes,1672,Monster Mango Loco 473ml
energizantes,3666,Speed Chico 250cc
energizantes,6611,Speed 500ML
energizantes,7893487,Monster Energy Ultra 473cc
energizantes,7893711,energizante monster 473 cc
energizantes,7894375,Monster ultra paradise
energizantes,7894638,Red Bull sugar free
energizantes,9540399,Monster Energy Ultra Sunrise
energizantes,9540408,Red Bull Grande 355ml
energizantes,9540442,Rockstar 500ml
energizantes,9540610,red bull tropical 250ml
energizantes,9540831,monster the doctor 473cc
galletitas,71,Six pack de heineken
galletitas,73,Galletitas amor
galletitas,74,Galletitas Mellizas
galletitas,102,chocman
galletitas,107,Nugaton black
galletitas,109,nugaton blanco
galletitas,196,Saladix Calabresa 100 gr
galletitas,197,Saladix Pizza 100 gr
galletitas,200,Kesitas  75g
galletitas,308,Turimar chips 400g
galletitas,560,NATUZEN COOKIES CHOCOLATE sin tacc
galletitas,853,NATUZEN COOKIES NARANJA sin tacc
galletitas,866,Bizcochos 9 de Oro clásicas 200g
galletitas,867,Bizcochos 9 de oro Agridulces 200g
galletitas,871,Pepas Terepin x 400g
galletitas,872,Pepas Terepin 200g
galletitas,873,vocacion chocolate170g
galletitas,874,vocacion acarameladas
galletitas,875,Hogareñas Mix de Cereales 185g
galletitas,876,Chocolinas x 150g
galletitas,877,Merengadas
galletitas,878,Sonrisas 118g
galletitas,879,Ser dulce vainilla
galletitas,880,Ser dulce limon
galletitas,881,ser salvado
galletitas,882,Ser cracker
galletitas,884,Criollitas Original x100g
galletitas,885,palmeritas deubel
galletitas,887,Mana Rellenas Chocolate
galletitas,888,Surtido Bagley 398g
galletitas,889,Surtido Diversión 390g
galletitas,891,Galletitas Paseo Crackers
galletitas,892,Paseo Chatita
galletitas,950,Rumba 108g
galletitas,985,Snacky 60g
galletitas,988,Mini Rhodesia 60g
galletitas,996,Dos hermanos galletas de arroz dulces 100 g
galletitas,1003,Pepitos Rellenas Vainilla 128g
galletitas,1004,Pepitos Tortita 124 gr
galletitas,1005,Pepitos Rellenas Chocolate 128g
galletitas,1015,club sicial jamon  x25g
galletitas,1537,opera 92gr
galletitas,1558,La Providencia x3
galletitas,1559,Bizcochos Salados Don Satur 200 gr
galletitas,1561,Opera 55g
galletitas,1562,Mana Rellenas Limon
galletitas,1564,Mana Rellenas limon
galletitas,3011,Pepas con Chocolate
galletitas,3534,Mana Livianas Vainillas
galletitas,3539,Rococo
galletitas,3542,Surtido Anillos terrabusi
galletitas,3587,Bizcochos Principitos
galletitas,3589,Traviata 101g
galletitas,3603,vocacion clasica
galletitas,3610,Mana Rellenas chocolate 152 grs
galletitas,3611,Hogareñas Salvado 200g
galletitas,3618,Kesitas estuche 125g
galletitas,3659,Melitas
galletitas,3673,Mana limon
galletitas,3674,Mana leche
galletitas,3675,Mana coco
galletitas,3685,terepin soft avellanas
galletitas,3691,Bizcochitos Jorgito x 200 g
galletitas,3693,sonrisas picaras
galletitas,3698,BIZCOCHITOS JORGITO  90g
galletitas,3710,tostadas riera
galletitas,3720,ser  cereal y frutas
galletitas,6050,Bizcochos Alem x 190 gr
galletitas,6054,surtidas turimar dulces 350g  (via dulce)
galletitas,6080,Chupetin 2x15
galletitas,6081,Galletitas Toddy
galletitas,6119,pepito chispas 57g
galletitas,6125,quaker granola
galletitas,6126,quaker pasas
galletitas,6127,quaker frutos rojos
galletitas,6128,quaker con manzana
galletitas,6177,Okebon Molino Natural avena y cacao 240g
